0,0
1,0.399893
2,0.799147
3,1.19712
4,1.59318
5,1.98669
6,2.37703
7,2.76356
8,3.14567
9,3.52274
10,3.89418
11,4.25939
12,4.61779
13,4.9688
14,5.31186
15,5.64643
16,5.97196
17,6.28793
18,6.59385
19,6.88922
20,7.17356
21,7.44643
22,7.70739
23,7.95602
24,8.19192
25,8.41471
26,8.62404
27,8.81958
28,9.00101
29,9.16803
30,9.32039
31,9.45784
32,9.58016
33,9.68715
34,9.77865
35,9.8545
36,9.91458
37,9.95881
38,9.9871
39,9.99942
40,9.99574
41,9.97606
42,9.94043
43,9.8889
44,9.82154
45,9.73848
46,9.63983
47,9.52576
48,9.39646
49,9.25212
50,9.09298
51,8.91929
52,8.73133
53,8.52941
54,8.31384
55,8.08497
56,7.84317
57,7.58881
58,7.32232
59,7.04411
60,6.75464
61,6.45436
62,6.14375
63,5.82332
64,5.49356
65,5.15502
66,4.80824
67,4.45376
68,4.09215
69,3.724
70,3.3499
71,2.97043
